id, name, release date, type, group, [contributing artist ids]
271ZX9Q5N03CVjzfngTilr,Nee Parichaya (Actors Cover) (From "Ninna Sanihake"),2021-07-27,Album,Single,[72578usTM6Cj5qWsi471Nc,4rcrT1RjuLHoBSJ2gqAbf0,7x0UJH5usGCeyBBbAhphp8]
3gaLD9y2azkDaJ75OtHWnx,SWARAJ Anthem Song,2021-07-10,Album,Single,[72578usTM6Cj5qWsi471Nc,7sJSfUsXlD9HT8JxFGXGiY]
0crhj1F3n87LvidIdejFLi,Saaku Innu Saaku,2021-06-09,Album,Single,[72578usTM6Cj5qWsi471Nc,59GUnH7f4NlLkxSxtNNt0i]
4KmNQeA3AC8WUEA9gdsuey,Bharavaseya Baduku,2021-06-09,Album,Single,[72578usTM6Cj5qWsi471Nc,59GUnH7f4NlLkxSxtNNt0i]
5xibUmKAvDdWwnaiD6IZAM,The Spirit of Ninna Sanihake (From "Ninna Sanihake"),2021-04-23,Album,Single,[72578usTM6Cj5qWsi471Nc]
2yJVAQJzHMOCe7FJPnrldf,Maadappa (From "Orchestra, Mysuru!"),2021-04-13,Album,Single,[72578usTM6Cj5qWsi471Nc]
1W1vwKUnUkynzRpRR1Sjxj,The Sound of Chaos (From "Ninna Sanihake"),2021-03-24,Album,Single,[72578usTM6Cj5qWsi471Nc]
76HOv0g6MpS0NBI2lOQUOz,Namma Bengaluru (From "Yellow Board"),2021-02-11,Album,Single,[7bLeuhxmuY31ubWNhUrPVx,72578usTM6Cj5qWsi471Nc]
2T3LuU4nnNxpp7gNqT9OJx,Sajanaa,2021-01-29,Album,Single,[2EMzQ4xj85Mf0sH4mz30H7,72578usTM6Cj5qWsi471Nc]
157n4MA4xUFwl0lIo907G9,Ninna Sanihake (Title Song) (From "Ninna Sanihake"),2021-01-28,Album,Single,[72578usTM6Cj5qWsi471Nc]
2NUvCDioGWfwbT22U4WnE4,Ninna Sanihake (Original Motion Picture Soundtrack),2020-12-15,Album,Single,[72578usTM6Cj5qWsi471Nc]
15viAxqCdTm3pOL8DcYcpa,Nee Maya Sanchari (From "Munduvareda Adhyaya"),2020-12-10,Album,Single,[7wwqdmDsfUSyzVK09S8nWV,72578usTM6Cj5qWsi471Nc]
0ZtlCdmywYrCM13NbmEvEL,Kadak Rotti (From "Osho"),2020-11-19,Album,Single,[72578usTM6Cj5qWsi471Nc,2LfvnRw9qJWb1Hr6ZxBOM1,4JczWHls9n9VpTHnqO2IG8]
6KqXx946lgT8L7SyOBRcHK,Voice United - Hum Honge Kamyab,2020-10-29,Album,Single,[0LyfQWJT6nXafLPZqxe9Of]
4QzPlVT9Cs8kZPEcrgOOoH,Male Male Maleye (Kannada Cover),2020-10-08,Album,Single,[72578usTM6Cj5qWsi471Nc]
5089llsEF6DCYlSBAoRTUR,Tsunami (From "Tsunami (Hindi)"),2020-10-08,Album,Single,[72578usTM6Cj5qWsi471Nc]
60WULwX9t6Lr0abrQfQs7y,Tsunami (From "Tsunami (Kannada)"),2020-10-08,Album,Single,[72578usTM6Cj5qWsi471Nc]
39V1Xb2rvJINpNzuaOyxXq,Neene Yendigu (Rap Cover),2020-07-11,Album,Single,[72578usTM6Cj5qWsi471Nc,2WkfobA9jvYrydkGh3zB4Y]
1XswmJU3GlEIOdkq41utM4,Baaro Saadhanakerige,2020-02-29,Album,Single,[72578usTM6Cj5qWsi471Nc,5c9kvShpETVJGCuyA5ex8m]
52YnFQmWUQSYmsc9Tk65R5,Garuda (Original Motion Picture Soundtrack),2020-02-13,Album,Single,[72578usTM6Cj5qWsi471Nc]
2ZtGtTW8zLxB6GtOo5h00s,Love Mocktail (Original Motion Picture Soundtrack),2020-01-16,Album,Single,[72578usTM6Cj5qWsi471Nc]
4HNOIplNCRj9CWaBDOOXs8,Gadiyaarake Symphony Version (From "Arishadvarga"),2020-01-01,Album,Single,[1HK9cAtlIq54t9dBWU5q3R,72578usTM6Cj5qWsi471Nc]
